nombre,poblacion,superficie,continente
Argentina,45376763,2780400,America
Brasil,213993437,8515767,America
Chile,19493184,756102,America
Uruguay,3426260,176215,America
Paraguay,7353038,406752,America
Mexico,126014024,1964375,America
Estados Unidos,331893745,9833517,America
Canada,38008005,9984670,America
Espana,47450795,505990,Europa
Alemania,83149300,357022,Europa
Francia,67750000,643801,Europa
Italia,59030133,301340,Europa
China,1411750000,9596961,Asia
Japon,125800000,377975,Asia
India,1380004385,3287263,Asia
Corea del Sur,51780579,100210,Asia
Sudafrica,59308690,1221037,Africa
Egipto,109262178,1002450,Africa
Nigeria,206139589,923768,Africa
Australia,25687041,7692024,Oceania
